data,food,travel,rent,Shopping,Health
12,62,56,89,12,92
95,10,15,78,69,57
75,96,14,40,7,32
79,6,40,62,15,31
76,20,81,73,98,70
48,26,52,53,36,89
8,57,51,92,83,12
56,52,8,5,14,42
7,20,68,59,34,9
58,77,20,78,45,13
55,17,77,87,84,70
71,80,42,63,13,60
27,16,50,44,51,41
49,81,41,79,67,83
80,46,35,27,33,28
40,90,15,93,17,59
82,60,83,56,90,65
6,48,46,8,94,69
13,7,61,70,33,14
58,45,5,36,30,54
1,30,48,1,10,36
96,94,12,44,6,24
91,70,89,80,85,68
60,20,7,40,29,39
22,9,81,20,71,35
52,53,80,38,14,23
43,21,30,92,95,85
17,21,89,63,35,29
90,8,43,93,86,39
24,35,25,26,39,61
35,57,66,9,36,59
84,30,91,25,43,87
68,32,64,3,90,40
83,24,81,80,43,60
94,22,46,49,65,64
45,55,60,96,97,57
9,48,96,98,3,100
62,86,87,11,28,20
31,30,92,42,7,2
54,35,45,3,52,1
46,67,51,58,82,73
7,50,64,91,63,32
61,12,4,3,59,27
65,83,18,47,80,61
46,99,10,3,22,52
36,73,61,18,50,11
5,85,24,6,52,99
40,31,82,35,73,81
48,32,93,9,15,50
42,24,100,78,51,95
4,87,9,51,92,16
21,100,87,74,56,36
43,39,37,43,88,43
60,82,51,77,76,35
42,80,41,16,64,61
80,90,94,78,58,41
17,50,37,95,64,49
92,71,13,9,50,25
85,92,67,31,85,36
23,38,22,19,22,79
38,62,59,84,9,72
48,13,59,89,52,25
83,79,77,51,69,48
27,63,15,24,66,31
86,13,45,39,22,41
34,43,4,49,43,100
91,84,32,12,68,39
35,77,29,56,23,84
100,100,90,74,82,82
44,76,52,1,90,4
56,66,66,52,35,62
78,85,91,11,18,94
88,99,74,64,8,62
19,3,24,24,66,17
7,29,35,5,17,19
23,57,54,75,64,93
50,55,20,20,89,46
25,48,64,23,77,42
79,21,73,25,71,59
78,25,37,40,43,15
60,76,37,27,70,21
50,51,22,37,65,8
30,55,71,25,5,39
42,52,71,3,49,80
59,63,8,55,65,48
45,99,17,55,90,95
42,88,77,32,55,48
64,9,2,14,30,95
43,25,38,96,60,96
66,69,90,14,14,76
85,85,52,81,13,93
8,60,23,100,10,70
12,29,100,16,37,9
78,54,55,52,6,32
67,95,80,21,100,70
37,45,47,59,28,83
82,80,86,43,50,33
68,74,64,35,95,7
12,55,5,23,66,64
16,71,95,30,82,75
46,85,56,25,26,17
57,29,27,72,4,84
6,6,92,72,38,37
88,62,36,69,34,77
40,58,90,38,48,58
96,21,6,44,22,12
62,2,47,40,37,67
1,83,30,100,56,3
37,29,17,29,44,34
90,17,17,77,31,77
62,80,96,35,44,7
72,20,33,56,89,5
68,57,12,28,49,49
94,38,74,85,36,20
74,7,79,70,67,40
5,56,47,65,67,70
63,31,62,35,9,22
62,43,39,61,30,83
41,67,28,27,43,22
100,4,91,31,45,99
35,37,31,27,72,56
16,48,72,44,44,69
26,2,39,86,7,94
64,41,8,8,44,23
82,15,19,76,91,53
41,17,93,11,43,61
40,69,30,83,4,80
96,92,69,78,28,8
61,50,88,88,22,12
33,29,94,8,18,35
79,78,4,22,13,20
42,67,72,64,46,43
95,19,97,52,45,89
89,2,95,98,69,4
88,77,97,13,91,55
4,71,4,97,62,82
81,87,61,6,29,35
72,5,22,15,21,2
67,35,21,34,48,75
32,90,39,94,97,81
76,60,77,91,47,24
57,75,60,44,56,98
37,42,28,93,68,76
10,9,20,9,39,36
56,55,25,87,23,93
17,30,41,16,65,1
7,77,96,52,35,29
80,72,78,40,40,45
36,37,74,93,77,96
82,38,91,34,58,44
84,10,97,57,94,97
61,74,68,93,90,2
72,31,30,32,26,8
42,1,24,90,55,74
69,52,42,21,72,78
92,90,15,67,65,95
22,4,38,83,39,2
84,99,78,26,68,52
4,61,56,27,25,70
39,19,58,63,68,11
32,47,100,34,41,73
77,77,41,52,66,42
30,65,57,9,53,12
96,23,99,1,9,94
52,32,79,74,44,4
84,81,76,40,92,61
27,69,42,75,20,71
63,70,50,56,2,12
51,19,81,55,93,60
1,23,40,63,79,81
71,51,87,41,17,17
77,92,42,15,68,10
78,16,88,86,71,15
6,43,11,25,96,3
37,73,18,88,30,53
55,79,55,76,55,89
95,18,70,78,89,25
2,87,63,58,44,14
16,91,83,68,70,4
100,47,66,83,33,45
43,10,4,29,91,54
10,97,8,97,92,51
11,99,67,8,77,59
18,73,74,54,70,71
37,95,91,57,68,19
19,64,46,24,18,100
22,42,55,97,2,40
56,10,34,91,60,56
76,72,67,99,17,13
2,30,91,64,94,61
85,62,65,22,14,80
51,91,75,28,5,14
34,24,70,19,28,1
2,50,4,72,9,57
25,11,11,16,80,62
84,74,39,68,32,81
72,34,21,49,33,99
72,28,90,20,4,88
60,49,52,73,84,35
68,6,85,6,62,18
6,97,75,46,39,99
84,75,23,91,85,70
47,11,66,23,29,25
81,41,74,99,79,21
72,44,31,90,31,56
3,98,92,63,64,100
72,4,48,97,12,66
46,28,100,25,55,81
32,16,74,48,29,84
96,87,35,75,38,59
5,73,61,20,49,23
53,76,11,9,58,39
6,73,41,5,51,54
89,17,85,71,28,81
37,10,14,37,2,90
98,40,84,32,79,53
98,26,75,90,47,76
39,72,92,14,36,33
89,1,68,39,6,61
51,25,39,13,44,64
